player,team,pos,pos_rank,tier,pts_proj,vor,score,ppg_proj,adp_overall
Ja'Tavion Sanders,,TE,41,8,76.8966,-95.3304,-99.3304,4.6604,
Jordan Akins,,TE,42,8,76.4283173076923,-95.79868269230771,-99.79868269230771,4.63201923076923,
Mason Rudolph,,QB,36,8,194.06805,-95.92247499999999,-99.92247499999999,11.7617,
Antonio Gibson,,RB,50,8,109.66555147058824,-96.48132352941175,-100.48132352941175,6.6463970588235295,
Noah Brown,,WR,67,8,136.33499999999998,-96.88764705882355,-100.88764705882355,8.262727272727272,
Ameer Abdullah,,RB,51,8,109.088375,-97.0585,-101.0585,6.611416666666667,
Demarcus Robinson,,WR,68,8,135.54315789473682,-97.6794891640867,-101.6794891640867,8.214736842105262,
Josh Palmer,,WR,69,8,135.5145,-97.70814705882353,-101.70814705882353,8.213,
Miles Sanders,,RB,52,8,108.26625,-97.880625,-101.880625,6.561590909090909,
Rome Odunze,,WR,70,8,134.30951470588235,-98.91313235294118,-102.91313235294118,8.139970588235293,
Christian Watson,,WR,71,8,134.2575,-98.96514705882353,-102.96514705882353,8.136818181818182,
Sincere McCormick,,RB,53,8,107.151,-98.995875,-102.995875,6.494,
Brandin Cooks,,WR,72,8,134.11005882352939,-99.11258823529414,-103.11258823529414,8.127882352941175,
Ricky Pearsall,,WR,73,8,133.93875,-99.28389705882353,-103.28389705882353,8.1175,
Michael Wilson,,WR,74,8,133.4715144230769,-99.75113263574661,-103.75113263574661,8.089182692307691,
Dawson Knox,,TE,43,8,72.28698529411764,-99.94001470588236,-103.94001470588236,4.381029411764706,
Jalen Coker,,WR,75,8,132.59219999999996,-100.63044705882356,-104.63044705882356,8.035890909090908,
Erick All,,TE,44,8,70.51481249999999,-101.71218750000001,-105.71218750000001,4.273624999999999,
Xavier Legette,,WR,76,8,131.41754999999998,-101.80509705882355,-105.80509705882355,7.964699999999999,
Colby Parkinson,,TE,45,8,70.15433333333333,-102.07266666666668,-106.07266666666668,4.251777777777777,
Mike Williams,,WR,77,8,130.185,-103.03764705882352,-107.03764705882352,7.890000000000001,
Tank Bigsby,,RB,54,8,102.56495192307692,-103.58192307692308,-107.58192307692308,6.216057692307692,
Roschon Johnson,,RB,55,8,102.45992307692306,-103.68695192307693,-107.68695192307693,6.209692307692307,
Luke Schoonmaker,,TE,46,8,65.69644230769231,-106.5305576923077,-110.5305576923077,3.9816025641025643,
Michael Mayer,,TE,47,8,65.61692307692307,-106.61007692307693,-110.61007692307693,3.9767832167832164,
Ray Davis,,RB,56,8,99.03588749999999,-107.11098750000001,-111.11098750000001,6.002174999999999,
Cam Akers,,RB,57,8,98.99445378151259,-107.1524212184874,-111.1524212184874,5.999663865546218,
Kendrick Bourne,,WR,78,8,124.53375,-108.68889705882353,-112.68889705882353,7.547499999999999,
Jaleel McLaughlin,,RB,58,8,97.44705882352942,-108.69981617647058,-112.69981617647058,5.905882352941177,
Darius Slayton,,WR,79,8,123.37389705882352,-109.84875000000001,-113.84875000000001,7.477205882352941,
Jalen Tolbert,,WR,80,8,123.33458823529412,-109.8880588235294,-113.8880588235294,7.474823529411765,
Cedric Tillman,,WR,81,8,123.07000000000001,-110.15264705882352,-114.15264705882352,7.458787878787879,
Ezekiel Elliott,,RB,59,8,95.08529411764705,-111.06158088235294,-115.06158088235294,5.762745098039216,
Isaac Guerendo,,RB,60,8,94.74196875000001,-111.40490624999998,-115.40490624999998,5.741937500000001,
E.J. Jenkins,,TE,48,8,60.666374999999995,-111.56062500000002,-115.56062500000002,3.6767499999999997,
Elijah Moore,,WR,82,8,121.53705882352942,-111.6855882352941,-115.6855882352941,7.365882352941177,
Josh Whyle,,TE,49,8,60.236000000000004,-111.991,-115.991,3.650666666666667,
Devaughn Vele,,WR,83,8,119.86955357142855,-113.35309348739497,-117.35309348739497,7.264821428571428,
Aidan O'Connell,,QB,37,8,176.58499999999998,-113.40552500000001,-117.40552500000001,10.702121212121211,
Johnny Mundt,,TE,50,8,58.399,-113.828,-117.828,3.5393333333333334,
Payne Durham,,TE,51,8,58.224374999999995,-114.00262500000001,-118.00262500000001,3.5287499999999996,
Stone Smartt,,TE,52,8,58.06624999999999,-114.16075000000001,-118.16075000000001,3.519166666666666,
Grant Calcaterra,,TE,53,8,57.21375,-115.01325,-119.01325,3.4675,
Aaron Rodgers,,QB,38,8,174.32347058823527,-115.66705441176472,-119.66705441176472,10.56505882352941,
Drew Sample,,TE,54,8,56.10964285714285,-116.11735714285714,-120.11735714285714,3.400584415584415,
Keon Coleman,,WR,84,8,116.90095312499999,-116.32169393382354,-120.32169393382354,7.0849062499999995,
Adam Trautman,,TE,55,8,55.811249999999994,-116.41575,-120.41575,3.3825,
Marquise Brown,,WR,85,8,116.20061538461538,-117.02203167420815,-121.02203167420815,7.042461538461538,
Luke Musgrave,,TE,56,8,54.69115384615384,-117.53584615384617,-121.53584615384617,3.3146153846153843,
Andy Dalton,,QB,39,8,172.00699999999998,-117.98352500000001,-121.98352500000001,10.424666666666665,
Elijah Higgins,,TE,57,8,54.218999999999994,-118.00800000000001,-122.00800000000001,3.2859999999999996,
Tre Tucker,,WR,86,8,115.18717194570135,-118.03547511312217,-122.03547511312217,6.9810407239819,
Gardner Minshew,,QB,40,8,171.948975,-118.04155,-122.04155,10.421149999999999,
D'Onta Foreman,,RB,61,8,87.81299999999999,-118.333875,-122.333875,5.321999999999999,
Will Levis,,QB,41,8,171.55325,-118.437275,-122.437275,10.397166666666665,
Lucas Krull,,TE,58,8,53.787857142857135,-118.43914285714287,-122.43914285714287,3.2598701298701296,
Nick Vannett,,TE,59,8,53.11625,-119.11075,-123.11075,3.2191666666666667,
Tutu Atwell,,WR,87,8,114.0706875,-119.15195955882352,-123.15195955882352,6.913375,
